登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E1001,1,1,have,動詞,持っている、（経験を）持つ,to own or hold something,We have three meetings this afternoon.,今日の午後は会議が3つある。,have + 過去分詞 で完了の意味にもなる（I have finished）。
E1002,1,1,do,動詞,する、行う,to perform an action,What do you do for a living?,お仕事は何をされていますか。,疑問文・否定文を作る助動詞としても使う。
E1003,1,1,say,動詞,言う、述べる,to speak words,He said that the report was ready.,彼は報告書ができたと言った。,say は「内容」を言う。相手を示すときは say to 人。
E1004,1,1,go,動詞,行く,to move to another place,I go to the office three days a week.,週に3日は事務所へ行く。,go -ing で「～しに行く」（go shopping）。
E1005,1,1,get,動詞,手に入れる、～になる,"to obtain, or to become",I got your email this morning.,今朝メールを受け取りました。,意味が非常に広い。get + 形容詞 で「～になる」（get tired）。
E1006,1,1,make,動詞,作る、～させる,"to create, or to cause someone to do",This tool makes the work much easier.,この道具のおかげで作業がずっと楽になる。,make + 人 + 動詞の原形 で「～させる」。
E1007,1,1,know,動詞,知っている,to have information in your mind,I do not know the reason yet.,まだ理由が分からない。,進行形にしない動詞（× I am knowing）。
E1008,1,1,think,動詞,考える、思う,to have an opinion or idea,I think we should wait one more day.,もう1日待つべきだと思う。,think about（あれこれ考える）と think of（思いつく）を区別する。
E1009,1,1,take,動詞,取る、（時間が）かかる,"to get hold of, or to need time",It takes about ten minutes to build.,ビルドに10分ほどかかる。,It takes + 時間 + to 動詞 の形でよく使う。
E1010,1,1,see,動詞,見える、分かる,"to notice with your eyes, or to understand",I see what you mean.,おっしゃることは分かります。,意識して見るのは look at、見える状態が see。
E1011,1,1,come,動詞,来る,to move toward the speaker,The parts will come next Monday.,部品は来週の月曜に届く。,come from ～ で「～の出身だ」。
E1012,1,1,want,動詞,欲しい、～したい,to wish for something,I want to check the log first.,まずログを確かめたい。,want to 動詞 の形が基本。進行形にしない。
E1013,1,1,look,動詞,見る、～に見える,"to direct your eyes, or to seem",The numbers look strange.,その数字はおかしく見える。,look at（見る）／look for（探す）／look like（～に似ている）。
E1014,1,1,use,動詞,使う,to employ something for a purpose,We use Python for all our tools.,ツールはすべて Python で作っている。,名詞の use は「ユース」、動詞は「ユーズ」と濁る。
E1015,1,1,find,動詞,見つける、分かる,to discover something,I found three errors in the file.,そのファイルに誤りを3つ見つけた。,find out は「調べて分かる」。
E1016,1,1,give,動詞,与える,to hand something to someone,Please give me a call when you arrive.,着いたら電話をください。,give 人 もの ＝ give もの to 人。
E1017,1,1,tell,動詞,伝える、話す,to inform someone,Tell me if anything goes wrong.,何かあったら教えてください。,tell は必ず相手を書く（tell 人 こと）。say との違い。
E1018,1,1,work,動詞,働く、（機械が）動く,"to do a job, or to function",The new script works without errors.,新しいスクリプトはエラーなく動く。,名詞では「仕事」。数えられない名詞。
E1019,1,1,call,動詞,呼ぶ、電話する,"to telephone, or to name",I will call you after the meeting.,会議のあとで電話します。,call A B で「A を B と呼ぶ」。
E1020,1,1,try,動詞,試す、努力する,to attempt something,Try restarting the application first.,まずアプリを立ち上げ直してみて。,try to 動詞（努力する）と try -ing（試しにやる）で意味が違う。
E1021,1,1,ask,動詞,尋ねる、頼む,"to put a question, or to request",She asked me to review the design.,彼女は設計を見てほしいと言ってきた。,ask 人 to 動詞 で「～するよう頼む」。
E1022,1,1,need,動詞,必要とする,to require something,You need administrator rights for this.,これには管理者権限が要る。,need to 動詞。否定は don't need to（～する必要はない）。
E1023,1,1,feel,動詞,感じる,to experience an emotion or sensation,I feel that this approach is safer.,こちらのやり方のほうが安全だと感じる。,feel + 形容詞（I feel tired）。feel like -ing は「～したい気分」。
E1024,1,1,become,動詞,～になる,to start to be something,The tool has become part of our routine.,そのツールは日課の一部になった。,become + 名詞／形容詞。過去形 became、過去分詞 become。
E1025,1,1,leave,動詞,去る、置いていく,"to go away, or to let something stay",Please leave the file as it is.,そのファイルはそのままにしておいてください。,leave + もの + 状態 で「～のままにする」。
E1026,1,1,put,動詞,置く,to move something into a place,Put the backup in the shared folder.,控えは共有フォルダに置いてください。,過去形も過去分詞も put のまま。
E1027,1,1,mean,動詞,意味する、～のつもりだ,"to signify, or to intend",What does this error mean?,このエラーはどういう意味ですか。,I mean … は言い直すときの前置きにも使う。
E1028,1,1,keep,動詞,保つ、～し続ける,to continue to have or do,Keep the original file just in case.,念のため元のファイルは残しておいて。,keep -ing で「～し続ける」。
E1029,1,1,let,動詞,～させる、許す,to allow someone to do something,Let me know your schedule.,予定を教えてください。,let + 人 + 動詞の原形。to は付けない。
E1030,1,1,begin,動詞,始まる、始める,to start,The test begins at nine.,テストは9時に始まる。,start より少し硬い。過去形 began、過去分詞 begun。
E1031,1,1,seem,動詞,～のように見える,to appear to be,It seems that the server is down.,サーバーが止まっているようだ。,It seems that … の形が便利。
E1032,1,1,help,動詞,助ける、役に立つ,to make it easier for someone,This note will help new members.,この覚書は新しい人の役に立つ。,help 人 (to) 動詞 の to は省いてよい。
E1033,1,1,talk,動詞,話す,to speak with someone,Let us talk about it tomorrow.,その件は明日話しましょう。,talk about（話題）／talk to（相手）。
E1034,1,1,turn,動詞,回す、～になる,"to move around, or to change into",Turn off the machine before you leave.,帰る前に機械の電源を切ってください。,turn on／off（つける・消す）は日常で頻出。
E1035,1,1,start,動詞,始める、始まる,to begin,We started the project last April.,その案件は去年の4月に始めた。,begin とほぼ同じ。機械を「始動させる」意味は start だけ。
E1036,1,1,show,動詞,見せる、示す,to let someone see,The log shows what happened.,ログを見れば何が起きたか分かる。,show 人 もの ＝ show もの to 人。
E1037,1,1,hear,動詞,聞こえる、耳にする,to receive sound with your ears,I heard about the change from Tanaka.,その変更は田中さんから聞いた。,意識して聞くのは listen to、聞こえるのが hear。
E1038,1,1,play,動詞,遊ぶ、（競技を）する,to take part in a game,The team plays an important role here.,そのチームはここで重要な役割を担っている。,play a role（役割を果たす）は仕事の文章でよく出る。
E1039,1,1,run,動詞,走る、運営する、（機械を）動かす,"to move fast, or to operate",Run the batch file to build it.,バッチを実行するとビルドできる。,IT では「実行する」の意味で毎日使う。
E1040,1,1,move,動詞,動く、移す,to change position,We moved the folder to the D drive.,そのフォルダは D ドライブへ移した。,move on は「先へ進む」。
E1041,1,1,live,動詞,住む、生きる,to have your home somewhere,I live about an hour from the office.,事務所から1時間ほどのところに住んでいる。,形容詞の live（生の）は「ライブ」と発音が変わる。
E1042,1,1,believe,動詞,信じる、思う,to think something is true,I believe the setting is correct.,その設定で合っていると思う。,think より確信が強い。進行形にしない。
E1043,1,1,hold,動詞,持つ、（会を）開く,"to carry, or to organize an event",We hold a review every Friday.,毎週金曜に見直しの会を開いている。,Hold on. は電話で「少しお待ちください」。
E1044,1,1,bring,動詞,持ってくる,to carry something to a place,Bring your laptop to the meeting.,会議にはノートPCを持ってきてください。,持っていくのは take、持ってくるのは bring。
E1045,1,1,happen,動詞,起こる,to take place,The same error happened again.,同じエラーがまた起きた。,happen to 動詞 で「たまたま～する」。
E1046,1,1,write,動詞,書く,to put words on paper or a screen,I wrote the manual last week.,先週その手引書を書いた。,write down は「書き留める」。
