登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E15701,1,5,presumptuous,形容詞,出しゃばりな、厚かましい,acting too boldly without permission,It would be presumptuous to answer for my boss.,上司の代わりに答えるのは出過ぎたまねだろう。,"presume（勝手に思い込む）から。断りの前置き It may be presumptuous, but ... で使う。"
E15702,1,5,probabilistic,形容詞,確率論的な、確率に基づく,based on chance rather than fixed rules,The weather model uses a probabilistic approach.,その気象モデルは確率論的な手法を使っている。,probability（確率）の形容詞。反対は deterministic（決定論的な）。
E15703,1,5,pronto,副詞,大急ぎで、今すぐ,very quickly and without delay,Bring me that file pronto.,そのファイルを今すぐ持ってきてくれ。,スペイン語・イタリア語から来たくだけた語。命令のあとに付けて急がせる。
E15704,1,5,purview,名詞,権限の範囲、管轄,the limits of what someone deals with,Tax questions fall outside the purview of this office.,税の問題はこの部署の管轄外だ。,within the purview of ...（～の管轄内で）の形で使う。かたい書き言葉。
E15705,1,5,quicken,動詞,速める、活気づける,to become faster or more active,Her heartbeat quickened as she opened the letter.,手紙を開けると彼女の鼓動が速まった。,quick＋-en で「速くする」。pace や pulse とよく組み合わせる。
E15706,1,5,quicksilver,名詞,水銀、変わりやすいもの,"the metal mercury, which is a liquid",Old thermometers were filled with quicksilver.,昔の温度計には水銀が入っていた。,mercury の古い呼び名。「動きが速く変わりやすい」の形容詞にも使う。
E15707,1,5,quince,名詞,マルメロ、カリン,a hard yellow fruit used for jam,She boiled the quince to make jelly.,彼女はゼリーを作るためにマルメロを煮た。,生では固くて酸っぱいので加熱して食べる。quince jam が定番。
E15708,1,5,racehorse,名詞,競走馬,a horse bred and trained for racing,The retired racehorse now lives on a quiet farm.,引退した競走馬は今、静かな牧場で暮らしている。,race＋horse。thoroughbred（サラブレッド）と一緒に出やすく、競馬や馬の飼育の話題で使う複合語。
E15709,1,5,ravioli,名詞,ラビオリ,small pasta squares filled with meat or cheese,We ordered spinach ravioli for dinner.,私たちは夕食にほうれん草のラビオリを注文した。,イタリア語由来で、ふつう複数扱い。中に具を包んだ小さなパスタで、単数の raviolo はほとんど使わない。
E15710,1,5,salvo,名詞,一斉射撃、（言葉の）連発,several shots or attacks fired at the same time,The senator opened with a salvo of tough questions.,上院議員は厳しい質問の連発で切り出した。,本来は大砲の一斉射撃のこと。fire a salvo at ... の形で、批判や質問の集中砲火を表す比喩によく使う。
E15711,1,5,spatula,名詞,へら、フライ返し,a kitchen tool with a wide flat blade,Use a spatula to turn the pancakes.,パンケーキを裏返すのにフライ返しを使って。,料理だけでなく実験用の薬さじにも使う。plastic spatula など。
E15712,1,5,stepdad,名詞,継父、義理の父,the husband of your mother who is not your father,My stepdad taught me how to drive.,義理の父が運転の仕方を教えてくれた。,stepfather のくだけた言い方。step- は血のつながらない家族に付く。
E15713,1,5,tenement,名詞,安アパート、共同住宅,a large old building divided into cheap flats,His family lived in a crowded tenement downtown.,彼の一家は下町の混み合った安アパートに住んでいた。,貧しい地域の古い集合住宅を指すことが多い。tenement house とも。
E15714,1,5,tetanus,名詞,破傷風,a serious disease caused by bacteria in a wound,You should get a tetanus shot after that cut.,その切り傷のあとは破傷風の注射を受けたほうがいい。,さびた釘などの傷から感染する。tetanus shot（破傷風の予防接種）。
E15715,1,5,thrombosis,名詞,血栓症,a blood clot blocking a blood vessel,Long flights can raise the risk of thrombosis.,長時間のフライトは血栓症の危険を高めることがある。,医学用語。エコノミークラス症候群は deep vein thrombosis と呼ぶ。
